id;idDescriptor;idGroup;code;title;imageURL;description;idLoadDiagram
;;Идентификатор товарной группы;Номер товарной подгруппы;Название товарной подгруппы;Ссылка на картинку аватарку товарной подгруппы;Описание товарной подгруппы;Идентификатор картинки со схемой нагрузки
28;;5;1259;Профиль  ST 41/21;./webfiles/1259.png;Описание товарной группы Профиль  ST 41/21;
29;;5;1260;Профиль  ST 41/21 D;./webfiles/1260.png;Описание товарной группы Профиль  ST 41/21 D;
30;;5;1261;Профиль  ST 41/41;./webfiles/1261.png;Описание товарной группы Профиль  ST 41/41;
31;;5;1262;Профиль  ST 41/41 D;./webfiles/1262.png;Описание товарной группы Профиль  ST 41/41 D;
32;;5;1263;Профиль  ST 41/62;./webfiles/1263.png;Описание товарной группы Профиль  ST 41/62;
33;;5;1264;Профиль  ST 41/62 D;./webfiles/1264.png;Описание товарной группы Профиль  ST 41/62 D;
34;;5;1265;Профиль  ST Z;./webfiles/1265.png;Описание товарной группы Профиль  ST Z;
35;;5;1266;Профиль  ST L;./webfiles/1266.png;Описание товарной группы Профиль  ST L;
36;;5;1513;Профиль  MS 27;./webfiles/1513.png;Описание товарной группы Профиль  MS 27;
37;;5;1516;Профиль  MS 41/41;./webfiles/1516.png;Описание товарной группы Профиль  MS 41/41;
38;;5;1519;Профиль  MS 41/62;./webfiles/1519.png;Описание товарной группы Профиль  MS 41/62;
39;;5;1514;Профиль  TP F 100;./webfiles/1514.png;Описание товарной группы Профиль  TP F 100;
40;;5;1515;Профиль  TP F 80 ;./webfiles/1515.png;Описание товарной группы Профиль  TP F 80 ;
41;;5;1517;Профиль  27 D;./webfiles/1517.png;Описание товарной группы Профиль  27 D;
42;;5;1518;Профиль  27;./webfiles/1518.png;Описание товарной группы Профиль  27;
43;;5;1520;Профиль  U-Профиль PUP 27;./webfiles/1520.png;Описание товарной группы Профиль  U-Профиль PUP 27;
44;;5;1521;Профиль без перфорации 40 /38;./webfiles/1521.png;Описание товарной группы Профиль без перфорации 40 /38;
45;;5;1522;Профиль  41/75 D;./webfiles/1522.png;Описание товарной группы Профиль  41/75 D;
46;;5;1523;Профиль  41/75;./webfiles/1523.png;Описание товарной группы Профиль  41/75;
47;;5;1528;Профиль  41/31;./webfiles/1528.png;Описание товарной группы Профиль  41/31;
48;;5;1524;Профиль  41/45;./webfiles/1524.png;Описание товарной группы Профиль  41/45;
49;;5;1526;Профиль  41/45 D;./webfiles/1526.png;Описание товарной группы Профиль  41/45 D;
50;;5;1525;Профиль  41/52;./webfiles/1525.png;Описание товарной группы Профиль  41/52;
51;;5;1527;Профиль  41/52 D;./webfiles/1527.png;Описание товарной группы Профиль  41/52 D;
52;;5;1598;Профиль перфорированный;./webfiles/1598.png;Описание товарной группы Профиль перфорированный;
53;;5;1599;Профиль  П-образный;./webfiles/1599.png;Описание товарной группы Профиль  П-образный;
54;;5;1600;Профиль  С-образный;./webfiles/1600.png;Описание товарной группы Профиль  С-образный;
55;;6;1268;Стойка ST 50/50;./webfiles/1268.png;Описание товарной группы Стойка ST 50/50;
56;;7;1270;Консоль ST 41/21;./webfiles/1270.png;Описание товарной группы Полка ST 41/21;
57;;7;1271;Консоль ST 41/21 D;./webfiles/1271.png;Описание товарной группы Полка ST 41/21 D;
58;;7;1272;Консоль ST 41/41;./webfiles/1272.png;Описание товарной группы Полка ST 41/41;
59;;7;1273;Консоль ST 41/41 D;./webfiles/1273.png;Описание товарной группы Полка ST 41/41 D;
60;;7;1274;Консоль ST 41/41;./webfiles/1274.png;Описание товарной группы Полка ST 41/41;
61;;7;1275;Консоль ST 41/62;./webfiles/1275.png;Описание товарной группы Полка ST 41/62;
62;;7;1276;Консоль ST 41/41 q;./webfiles/1276.png;Описание товарной группы Полка ST 41/41 q;
63;;7;1277;Консоль ST 41/21 Dq;./webfiles/1277.png;Описание товарной группы Полка ST 41/21 Dq;
64;;7;1278;Консоль ST 41/62 D;./webfiles/1278.png;Описание товарной группы Полка ST 41/62 D;
65;;8;1548;Консоль TKO F 80;./webfiles/1548.png;Описание товарной группы Консоль TKO F 80;
66;;8;1556;Консоль TKO F 100;./webfiles/1556.png;Описание товарной группы Консоль TKO F 100;
67;;8;1549;Консоль AK 27 ;./webfiles/1549.png;Описание товарной группы Консоль AK 27 ;
68;;8;1552;Консоль АК 27/25;./webfiles/1552.png;Описание товарной группы Консоль АК 27/25;
69;;8;1553;Консоль АК 27/25 q ;./webfiles/1553.png;Описание товарной группы Консоль АК 27/25 q ;
70;;8;1562;Консоль AK 27 /27;./webfiles/1562.png;Описание товарной группы Консоль AK 27 /27;
71;;8;1551;Консоль АК 27/37;./webfiles/1551.png;Описание товарной группы Консоль АК 27/37;
72;;8;1550;Консоль AK F 80 ;./webfiles/1550.png;Описание товарной группы Консоль AK F 80 ;
73;;8;1554;Консоль AK F 80/30;./webfiles/1554.png;Описание товарной группы Консоль AK F 80/30;
74;;8;1560;Консоль AK F 80/30-Q;./webfiles/1560.png;Описание товарной группы Консоль AK F 80/30-Q;
75;;8;1555;Консоль AK F 100;./webfiles/1555.png;Описание товарной группы Консоль AK F 100;
76;;8;1559;Консоль AK F160;./webfiles/1559.png;Описание товарной группы Консоль AK F160;
77;;8;1557;Консоль Опорная консоль SKO;./webfiles/1557.png;Описание товарной группы Консоль Опорная консоль SKO;
78;;8;1558;Консоль 27/30;./webfiles/1558.png;Описание товарной группы Консоль 27/30;
79;;8;1561;Консоль Консольная балка QKO;./webfiles/1561.png;Описание товарной группы Консоль Консольная балка QKO;
